ICI(北京)通讯技术有限公司,法定代表人：李众 注册资本：155万美元 成立时间：2005-11-30 ,邮箱：vicky.cui@alphalinkgc.com电话：010-85275777 更多号码 ,地址：北京市海淀区科学院南路2号C座12层S1209  ,科学研究和技术服务业,0
KBC科技(北京)有限公司,法定代表人：安西蒙 注册资本：140万元人民币 成立时间：2006-05-29 ,邮箱：yke@kbcat.com电话：13910229924 更多号码 ,地址：北京市东城区祈年大街18号院1号楼四层403号  ,科学研究和技术服务业,0
MINO轧制技术(北京)有限公司,法定代表人：乔治·科罗纳注册资本：20万欧元 成立时间：2005-11-02 ,邮箱：gaoyan_mino@126.com电话：010-64398295 更多号码 ,地址：北京市朝阳区望京北路9号1幢4层C412  ,科学研究和技术服务业,0
NEC飞鼎克信息技术服务(北京)有限公司,法定代表人：松仓博之注册资本：469.1万美元 成立时间：2005-03-16 ,邮箱：luhexin@nefits.com.cn电话：010-82319620 更多号码 ,地址：北京市朝阳区亮马桥东方东路19号外交办公大楼D02-0-0603A  ,科学研究和技术服务业,0
UMC(北京)技术发展有限公司,法定代表人：路芳 注册资本：15万美元 成立时间：2005-03-29 ,邮箱：anyanrul@163.com电话：010-88202817 ,地址：北京市海淀区田村路西口畅茜园圣华里4号楼3-9层丽时假日酒店3层3011号  ,科学研究和技术服务业,0
《中华建筑报》社,法定代表人：陈新 注册资本：100万人民币元 成立时间：1998-01-04 ,邮箱：15611274505@163.com电话：010-88118138 ,地址：北京市海淀区阜成路81号院2号楼  ,文化、体育和娱乐业,0
《中国国家地理》杂志社,法定代表人：李栓科 注册资本：30万元人民币 成立时间：1993-06-07 ,邮箱：office@cng.com.cn电话：010-64842072 更多号码 ,地址：北京市朝阳区大屯路甲11号1号楼1层  ,文化、体育和娱乐业,0
一鑫达(天津)科技股份有限公司,法定代表人：秦聪 注册资本：1600万元人民币 成立时间：2002-04-25 ,邮箱：tjyixinda@163.com电话：13832801619 更多号码 ,地址：天津滨海高新区华苑产业区梅苑路5号金座广场-3012  ,科学研究和技术服务业,0
万声信息产业有限公司,法定代表人：于江 注册资本：15000万元人民币 成立时间：2008-06-18 ,邮箱：sdcallcenter@sdcallcenter.com电话：0536-2995006 更多号码 ,地址：山东省潍坊高新区新城街道鲍庄社区健康东街9266号山东呼叫中心(潍坊)基地综合商务楼01第一层南区  ,信息传输、软件和信息技术服务业,0
万都(北京)汽车部件研究开发中心有限公司,法定代表人：卓一焕 注册资本：600万美元 成立时间：2003-06-19 ,邮箱：panpan.liu@halla.com电话：010-61023600 ,地址：北京市密云区经济开发区云西四路7号  ,科学研究和技术服务业,0
三信高科工程技术(北京)有限公司,法定代表人：朱效泉 注册资本：1000万元人民币 成立时间：2004-11-26 ,邮箱：945830323@qq.com电话：0101-57101452 更多号码 ,地址：北京市丰台区卢沟桥南里甲2号院3号楼三层3085室  ,科学研究和技术服务业,0
